Tickers,Dias
A,5765
AAL,4294
AAP,5257
AAPL,10551
ABBV,2466
ABC,6934
ABMD,8877
ABT,10739
ACN,5346
ADBE,9119
ADI,10739
ADM,10739
ADP,10739
ADSK,9402
AEE,6239
AEP,13317
AES,7888
AFL,10739
AIG,12559
AIZ,4708
AJG,9661
AKAM,5779
ALB,7215
ALGN,5464
ALK,10739
ALL,7398
ALLE,2244
AMAT,10739
AMCR,2624
AMD,10739
AME,9641
AMGN,9916
AMP,4302
AMT,6201
AMZN,6399
ANET,2107
ANSS,6627
AON,10686
AOS,9843
APA,10951
APD,10739
APH,7793
APTV,2746
ARE,6391
ATO,9782
ATVI,7298
AVB,7202
AVGO,3323
AVY,12525
AWK,3648
AXP,12705
AZO,7948
BA,13317
BAC,12525
BALL,12525
BAX,10331
BBWI,10223
BBY,9452
BDX,12525
BEN,9848
BF-B,10739
BIIB,7831
BIO,10752
BK,12475
BKNG,5927
BKR,8956
BLK,5799
BMY,12705
BR,3922
BRK-B,6656
BRO,10510
BSX,7661
BWA,7348
BXP,6376
C,11548
CAG,10739
CAH,9883
CARR,651
CAT,13317
CB,7446
CBOE,3108
CBRE,4621
CCI,6082
CCL,8880
CDAY,1128
CDNS,8911
CDW,2344
CE,4466
CEG,188
CF,4326
CFG,2031
CHD,10739
CHRW,6292
CHTR,3219
CI,10224
CINF,10739
CL,12476
CLX,12525
CMA,10739
CMCSA,10739
CME,5000
CMG,4211
CMI,12525
CMS,12525
CNC,5247
CNP,13317
COF,7029
COO,10018
COP,10286
COST,9144
CPB,12525
CPRT,7198
CPT,7364
CRL,5615
CRM,4613
CSCO,8230
CSGP,6115
CSX,10578
CTAS,9872
CTLT,2069
CTRA,8236
CTSH,6123
CTVA,857
CVS,12525
CVX,13317
CZR,2033
D,10739
DAL,3893
DD,12705
DE,12705
DFS,3864
DG,3253
DGX,6502
DHI,7649
DHR,11045
DIS,13317
DISH,6880
DLR,4523
DLTR,6954
DOV,10739
DOW,903
DPZ,4600
DRI,6910
DTE,13317
DUK,10739
DVA,6788
DVN,9387
DXC,10286
DXCM,4409
EA,8334
EBAY,6056
ECL,12525
ED,13317
EFX,10739
EIX,12475
EL,6775
ELV,5278
EMN,7263
EMR,12705
ENPH,2655
EOG,8324
EPAM,2691
EQIX,5581
EQR,7349
EQT,10739
ES,12525
ESS,7143
ETN,12705
ETR,12705
ETSY,1891
EVRG,12525
EW,5677
EXC,12476
EXPD,9593
EXPE,4341
EXR,4576
F,12705
FANG,2519
